URL,No,F_One,s_One,primaryID
https://cbtestw.kinsta.cloud/analysis/blockchain-technology-data-protection/,2,Analysis,Blockchain,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/how-blockchain-can-streamline-supply-chains/,2,Analysis,Blockchain,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/can-blockchain-simplify-share-ownership/,2,Analysis,Blockchain,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/blockchain-technology-can-revolutionise-healthcare-sector/,2,Analysis,Blockchain,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/digital-identities-and-the-blockchain/,2,Analysis,Blockchain,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/blockchain-technology-can-protect-intellectual-property/,2,Analysis,Blockchain,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/the-power-blockchain-and-the-internet-of-things/,2,Analysis,Blockchain,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/how-blockchain-technology-can-power-the-sharing-economy/,2,Analysis,Blockchain,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/smart-contracts-can-used-prediction-markets/,2,Analysis,Smart Contracts,"16,2,Analysis"
https://cbtestw.kinsta.cloud/education/what-are-blockchain-oracles/,3,Blockchain,Education,"24,5,Education"
https://cbtestw.kinsta.cloud/news/monero-ip-address-leak-not-exploit/,2,Analysis,News,"4,11,News"
https://cbtestw.kinsta.cloud/news/spectre-proposal-blockchain-free-cryptocurrency/,2,Blockchain,News,"4,11,News"
https://cbtestw.kinsta.cloud/news/crypto-regulation-vanguard-russia-looks-bring-crypto-use-terms/,2,Adoption,News,"4,11,News"
https://cbtestw.kinsta.cloud/news/zcash-status-investment-trust-files-sec-developments/,2,Analysis,News,"4,11,News"
https://cbtestw.kinsta.cloud/news/mass-adoption-numerous-hedge-funds-open-crypto-funds/,2,Adoption,News,"4,11,News"
https://cbtestw.kinsta.cloud/analysis/pump-dump-scams-crypto-traders-look/,2,Analysis,ICO,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/pending-review-cme-announces-possible-bitcoin-futures-launch/,2,Adoption,News,"4,11,News"
https://cbtestw.kinsta.cloud/news/using-smart-contracts-fund-bug-bounties-hydra/,2,News,Smart Contracts,"229,15,Smart Contracts"
https://cbtestw.kinsta.cloud/analysis/bitconnect-bcc-inside-concerns-surrounding-cryptocoin/,2,Analysis,Review,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/adoption-increasing-ethereum-name-service/,2,News,Smart Contracts,"4,11,News"
https://cbtestw.kinsta.cloud/news/ethereum-community-split-response-parity-exploit/,2,News,Smart Contracts,"4,11,News"
https://cbtestw.kinsta.cloud/news/time-bitcoin-scale-lightning-network/,2,Analysis,News,"4,11,News"
https://cbtestw.kinsta.cloud/news/bitcoin-block-size-increase-medium-term-possibility/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/chinas-bitcoin-miners-prepare-exit-crackdown-rumours/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/current-status-litecoin-interesting-time-ltc-holders/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/confido-price-crashes-creators-delete-projects-online-presence/,2,ICO,News,"258,8,Ico"
https://cbtestw.kinsta.cloud/analysis/overstock-set-launch-blockchains-next-big-thing/,2,Analysis,ICO,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/bitcoin-cash-sent-btc-address-bitcoin-cash-bandit-will-help-price/,2,News,Services,"37,14,Services"
https://cbtestw.kinsta.cloud/news/3-ways-net-neutrality-laws-affect-cryptocurrency-america/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/dashing-dash-excitement-builds-1-payment-crypto-surges/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/real-estate-brokers-miami-want-bitcoin/,2,Adoption,News,"233,1,Adoption"
https://cbtestw.kinsta.cloud/news/mt-gox-ico-kerpeles-causes-outrage-supposed-plan/,2,ICO,News,"258,8,Ico"
https://cbtestw.kinsta.cloud/news/nasdaq-joins-bitcoin-train-introduces-futures/,2,Adoption,News,
https://cbtestw.kinsta.cloud/news/venezuela-create-state-cryptocurrency-will-work/,2,Adoption,News,"233,1,Adoption"
https://cbtestw.kinsta.cloud/news/leapfrogging-cme-cboe-announces-bitcoin-futures-release-date/,2,Adoption,News,"233,1,Adoption"
https://cbtestw.kinsta.cloud/news/monero-surges-team-musicians/,2,Adoption,News,"233,1,Adoption"
https://cbtestw.kinsta.cloud/news/salt-lending-token-prices-explode-platform-release-nears/,2,Analysis,News,"4,11,News"
https://cbtestw.kinsta.cloud/news/andreas-antonopoulos-impact-cme-futures/,2,Adoption,News,"4,11,News"
https://cbtestw.kinsta.cloud/news/bitcoin-futures-go-live/,2,Adoption,News,"233,1,Adoption"
https://cbtestw.kinsta.cloud/news/ripple-xrp-rockets-upwards/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/ebay-considering-crypto/,2,Adoption,News,"233,1,Adoption"
https://cbtestw.kinsta.cloud/news/parity-ethereum-foundation-one-hard-fork-please/,2,News,Smart Contracts,"229,15,Smart Contracts"
https://cbtestw.kinsta.cloud/analysis/bitcoin-etfs-coming-soon/,2,Adoption,Analysis,"233,1,Adoption"
https://cbtestw.kinsta.cloud/news/kik-announces-move-ethereum-alternate-chain-citing-scalability-issues/,2,ICO,News,"4,11,News"
https://cbtestw.kinsta.cloud/analysis/cryptocurrency-cloud-mining/,2,Analysis,Review,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/want-learn-solidity-dapp/,2,News,Smart Contracts,"229,15,Smart Contracts"
https://cbtestw.kinsta.cloud/analysis/cardano-ada-overview/,2,Analysis,Education,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/japanese-tel-co-giant-offer-bitcoin-salaries-next-year/,2,Adoption,News,"233,1,Adoption"
https://cbtestw.kinsta.cloud/analysis/verge-privacy-brief-overview/,2,Analysis,Review,"16,2,Analysis"
https://cbtestw.kinsta.cloud/blockchain/bitcoin-tumbling-zerolink-will-hide-coins/,2,Blockchain,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/news/litecoin-founder-sells-ltc-avoid-conflict-interest/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/bitcoin-philanthropy-pineapple-fund-give-86m-charity/,2,Adoption,News,"4,11,News"
https://cbtestw.kinsta.cloud/news/goldman-launch-bitcoin-trading-desk/,2,Adoption,News,"4,11,News"
https://cbtestw.kinsta.cloud/news/cryptocurrency-markets-bleed/,2,Analysis,News,"4,11,News"
https://cbtestw.kinsta.cloud/analysis/vertcoin-buzz-real-unreal/,2,Analysis,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/news/trading-bot-behind-coinbase-pricing-discrepancies/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/education/cold-storage-ultimate-solution-crypto/,2,Education,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/news/bad-news-crypto-investors-new-us-tax-bill/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/john-mcafee-twitter-coins/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/bitcoin-cash-adoption-increases-darknet-pirate-bay-takes-swipe/,2,Adoption,News,"233,1,Adoption"
https://cbtestw.kinsta.cloud/news/south-koreans-going-cryptocurrency-crazy/,2,Adoption,News,"233,1,Adoption"
https://cbtestw.kinsta.cloud/news/estonia-first-country-issue-cryptocurrency/,2,ICO,News,"258,8,Ico"
https://cbtestw.kinsta.cloud/analysis/emerging-trends-five-currencies-watch-2018/,2,Analysis,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/news/verge-xvg-community-freaking/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/news/everything-need-know-omisego-airdrop/,2,Analysis,News,"16,2,Analysis"
https://cbtestw.kinsta.cloud/analysis/stratis-going-where/,2,Analysis,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/adoption/using-bitcoin-buy-products-amazon-purse-io/,2,Adoption,Review,"422,13,Review"
https://cbtestw.kinsta.cloud/news/zclassic-relaunch-bitcoin-private-prices-explode/,2,Analysis,News,"16,2,Analysis"
